Yorum,Tahmin
"
Bu yılki Berlin Film Festivali'nin en çok övgü toplayan filmlerinden biri, festivalde Büyük Jüri Ödülü'ne layık görülen ""Wheel of Fortune and Fantasy"" oldu. Japon yönetmen Ryusuke Hamaguchi'nin üçüncü uzun met...",tarafsız
"
İstanbul Film Festivali'nin Haziran ayı seçkisinde ilgimi çekmeyi başaran filmlerin ilki Alman - Fransız ortak yapımı ""Copilot"" oldu. Alman yönetmen Anne Zohra Berrached'in üçüncü uzun metraj filmi olma özelli...",tarafsız
"
2021'in ilk yarısının en çok konuşulan filmlerinden biri sinema dünyasının en sıra dışı yapımlarından birine dönüşen ""Zack Snyder's Justice League"" oldu. Filmi bu kadar sıra dışı hale getiren ise şüphesiz ekra...",tarafsız
"
2019 yapımı Joker'in yakaladığı olağanüstü başarı Disney'i de hemen harekete geçirdi. Şirketin en ünlü kötü karakterlerinden biri olan Cruella de Vil için hazırlanan köken filmi, hem karanlık atmosferiyle hem ...",tarafsız
"
Türk sinemasının deneyimli yönetmenlerinden bir tanesi olan Ümit Ünal'la ilk tanışmam 2018 yapımı Sofra Sırları ile olmuştu. Bu çok geç tanışma aynı zamanda oldukça iyi bir tanışmaydı. Yerli sinemanın son yıll...",olumsuz
"
Bir yandan pandeminin bitmek bilmemesi, diğer yandan Soul ve Wolfwalkers'ın yakaladığı ödül başarısı Sony'nin gözünü korkutmuş olacak ki geçen sezonun en iddialı animasyonlarını hem 2021 sezonuna sarkıttılar h...",tarafsız
"
Parks and Recreation'dan ve komedi şovlarından hayranı olduğum Amy Poehler, buna karşın aynı başarısını bir türlü sinemaya yansıtamayan isimlerden bir tanesi. Ünlü komedyenin bu kez yönetmen koltuğunda karşımı...",tarafsız
"
Netflix'te gösterime giren yeni Fransız filmi Oxygen, son günlerdeki sinema gündeminin en üst sırasına yerleşmeyi başardı. Kendine has bir kitlesi olsa da bugüne dek hiçbir filmiyle radarıma giremeyen Fransız ...",tarafsız
"
2021'in ilk aylarının ses getiren filmlerinden biri vizyonla aynı anda Disney Plus'ta da gösterime girmesine rağmen gişede büyük başarı elde eden animasyon ""Raya and the Last Dragon"" oldu. Aldığı pozitif eleşt...",tarafsız
"
İlk kez 2020'nin Sundance Film Festivali'nde gösterime girmesine karşın gösterimi  2021'e sarkan filmlerden biri de tiyatrodan sinemaya geçen İngiliz yönetmen Dominic Cooke imzalı The Courier oldu. Üst düzey ö...",tarafsız
"
Festival gösterimine 2020'de başlasa da genel gösterimleri 2021'e sarkan filmlerden biri de Kanadalı genç yönetmen Emma Seligman'ın ilk uzun metraj denemesi olan ve daha önce kısa metraj olarak çektiği filmin ...",tarafsız
"
Her fırsatta dile getirdiğim gibi aksiyon türü, film türleri arasında en geride gördüğüm türlerden bir tanesi. Bu türdeki pek çok tatsız tecrübemden yola çıkarak bu türden izleyeceğim film sayısını minimum düz...",tarafsız
"
İstanbul Film Festivali'nin Nisan seçkisinden seçtiğim üçüncü ve yüksek ihtimalle son film Maltalı yönetmen Alex Camilleri'nin ilk uzun metraj filmi olma özelliğini taşıyan ""Luzzu"" oldu. Filmin bu yılki Sundan...",tarafsız
"
İstanbul Film Festivali'nin Nisan ayı seçkisindeki ikinci filmim ülkesindeki ilk gösterimini 2020'de yapmış olsa da uluslararası gösterimi 2021'e sarkan ""Love Affair(s)"" ya da yaygın bilinen diğer adıyla ""The ...",tarafsız
"
İstanbul Film Festivali'nin Nisan ayı seçkisinden seçmiş olduğum ilk film, Polonya ve İrlanda ortak yapımı ""I Never Cry"" oldu. 2017 yapımı ilk filmi ""Silent Night"" ile ülkesinde pek çok ödül kazanan Polonyalı ...",tarafsız
"
2020 film sezonunu nihayet geride bıraktığımıza göre vakit kaybetmeden 2021 film sezonuna başlama zamanı... Yeni sezonun ilk filmi ilk gösterimini geçen yılki Berlin Film Festivali'nde yapan, üstelik festivali...",tarafsız
"
Ve sonunda sıra 2020 film sezonunun son filmine geldi. İlk gösterimini 2020'nin ilk aylarındaki Sundance Film Festivali'nde yapan The Father, bir yıl gibi uzun bir süre boyunca izleyiciden başarıyla saklandı. ...",tarafsız
"
2020 film sezonu kapsamında izlediğim son iki filmden biri, uzun süredir izleme imkanına ulaşmayı umduğum filmlerden bir tanesi olan ""Quo vadis, Aida?"" ya da Türkçesiyle ""Nereye Gidiyorsun Aida?"" oldu. Bosna H...",tarafsız
"
Geçtiğimiz hafta açıklanan Oscar adayları arasında izleme listemde olmayıp izleme kararı aldığım tek film, Derek Tsang yönetmenliğindeki Çin & Hong Kong ortak yapımı ""Better Days"" oldu. Her ne kadar 2018'd...",tarafsız
"
İngiliz bağımsız sinemasında yılın en çok övgü alan filmlerinden bir tanesi Sarah Gavron imzalı ""Rocks"" oldu. Tüm övgülere karşın filmin bana uzak tarzda bir film olduğunu düşünerek izleme listeme eklememe kon...",olumsuz
"
Geçtiğimiz günlerde açıklanan bol sürprizli BAFTA adaylarının en çok dikkat çeken sürprizlerinden birini de ilk kez 2019'daki Venedik Film Festivali'nde gösterilse de izleyiciyle 2020'de buluşan Avustralya yap...",tarafsız
"
2020 tüm olumsuzluklarına rağmen yine onlarca iyi film izleme şansı yakaladığımız bir sinema yılı oldu. Ne var ki özellikle gişede beklentisi olan filmler bir sonraki yıla ertelendiği için yüksek bütçeli ve bo...",tarafsız
"
2020 film sezonuna son noktayı koyacağım gün giderek yaklaşırken sezon kapsamında izleyip yazdığım 100. film, bugüne dek küçük kitlelere ulaşmış filmlere sahip Kıbrıs doğumlu yönetmen Chad Hartigan'ın en yeni ...",tarafsız
"
İlk filmi 2018 yapımı Searching ile sıra dışı bir başarıya imza atan Hint kökenli Amerikalı yönetmen Aneesh Chaganty, iki yıllık aranın ardından yine çarpıcı bir filmle geri döndü. Normalde korku türüne göz kı...",tarafsız
"
2009 yılındaki ""Precious"" filmiyle ciddi bir başarıya imza atan Lee Daniels, bir anda sektörün en önemli siyahi yönetmenlerinden bir tanesi haline geldi. Hiç sevemediğim bu filminin aksine yönetmenin izleyip b...",tarafsız
"
2020 film sezonunun -yüksek ihtimalle- izlediğim son festival filmi,  İstanbul Modern'in ""Oscar'ın Yabancıları"" etkinliğinin de kapanış filmi olan ""Asia"" oldu. İsrail Film Akademi'sinin ödüllerinde en iyi film...",tarafsız
"
Festival turunu 2019'da yapmasına karşın genel gösterimini 2020'nin ilk aylarında yapan Swallow, uzun süredir listemde sırasını bekleyen filmlerden bir tanesiydi. Carlo Mirabella-Davis'in ilk yönetmenlik denem...",tarafsız
"
Avustralya'da yılın ses getiren filmlerinden bir tanesi ülkesinde popüler sayılabilecek bir yönetmen olan Glendyn Ivin imzası taşıyan ""Penguin Bloom"" oldu. İlk gösterimini Toronto'da yapan film, Türkiye hariç ...",tarafsız
"
2020'nin ilk aylarının popüler filmlerinden bir tanesi olan ""Emma."", aylar önceden izlemeyi denediğim ancak hiç benim tarzım olmadığını düşündüğüm için ender yaptığım bir şeyi yaparak yarıda bıraktığım bir fil...",tarafsız
"
2020 film sezonunun son düzlüğünde bir yandan listemdeki filmleri eritmeye devam ederken bir yandan da son keşif filmlerini listeye eklemeye devam ediyorum. Bu filmlerden bir tanesi de yönetmeni Alex Thompson'...",tarafsız
"
Meksika sinemasının bu yılki en çok ses getiren filmi ülkemiz de dahil olmak üzere uluslararası dağıtımını Netflix'in yaptığı ""I'm No Longer Here"" (ya da orijinal ismiyle ""Ya No Estoy Aqui"") oldu. Ülkenin en p...",tarafsız
"
2020 film sezonunu kapamak üzere olduğumuz şu günlerde bir yandan eldeki filmleri eritmeye çalışırken diğer yandan sürpriz yeni yapımlar karşımıza çıkmaya devam ediyor. Bunlardan bir tanesi de Amazon Prime Vid...",tarafsız
"
Bu sezon Oscarlara hemen her kategoride damgayı vurmaya hazırlanan Netflix'in iddialı olduğu kategorilerden bir tanesi de henüz çok yeni olduğu ""en iyi animasyon"" kategorisi. Ödül yarışının Disney'in Soul'u ve...",olumsuz
"
Netflix'te 2020'nin ilk yarısında gösterime giren The Half of It, platformdaki örnekleri çokça bulunan basit gençlik filmlerinden olduğunu düşündüğüm için es geçtiğim yapımlardan biriydi. Fakat yıl sonuna doğr...",tarafsız
"
İstanbul Modern'in sinemaseverlere dev hizmeti ""Oscar'ın Yabancıları"" etkinliği kapsamında izlediğim ikinci film, Fas'ın bu yılki Oscar aday adayı olan fakat kısa listeye kalamayan ""The Unknown Saint"" oldu. İl...",tarafsız
"
Geçen yılki Sundance Film Festivali'nden çıkan ve gün yüzüne çıkması epey uzun zaman alan çok sayıdaki ilgi çekici bağımsız filmden bir tanesi de daha önce Mamma Mia! ve The Iron Lady gibi iki ünlü filme imza ...",tarafsız
"
Geçtiğimiz yılki Sundance Film Festivali'nde övgü alan filmlerden bir tanesi de Ekwa Msangi'nin ilk uzun metraj filmi Farewell Amor idi. Birkaç ay önce Mubi'de gösterime girmesiyle birlikte radarıma giren film...",tarafsız
"
Bu sezon pek çok kaliteli filmi önümüze sunan İstanbul Film Festivali'nin şubat seçkisi diğer aylara nazaran biraz daha sönüktü. Bu ayki listeme giren tek film ise uzun yıllardır sinemanın içerisinde olmasına ...",tarafsız
"
İlk gösterimini bu yılki Toronto Film Festivali'nde yapan I Care a Lot özellikle Rosamund Pike'ın aldığı olumlu tepkilerle adından söz ettirerek Netflix'in festivalde satın aldığı çok sayıdaki yapımdan bir tan...",tarafsız
"
Children of Heaven ve Color of Paradise gibi klasikleriyle İran sinemasının önde gelen yönetmenlerinden biri olan ve ülkemizde de geniş bir hayran kitlesi bulunan Majid Majidi, iki önde gelen filmini de çok se...",olumsuz
"
İlk gösterimini 2019'daki Toronto Film Festivalinde yapan Gabriela Cowperthwaite yönetmenliğindeki Our Friend, uzun süredir izleyiciyle buluşacağı günü bekleyen filmlerden biriydi. İlk olarak ""The Friend"" adıy...",tarafsız
"
İngiliz Film Akademisi, İngilizlerin en prestijli film ödülleri olan BAFTA ödüllerinde bu yıl radikal bir değişiklik yaparak adayları açıklamadan önce her kategoride 15 filmlik uzun aday adayı listeleri yayınl...",tarafsız
"
Yakın gelecekte özellikle televizyon alanında dev atılım yapması beklenen Apple TV+, şu sıralar sessiz sedasız az sayıda çıkardığı işle yayın hayatına devam ediyor. Bu işlerden bir tanesi de birkaç hafta önce ...",tarafsız
